name,telephone,cep,cpf
João, 21971115058,24416060,12516453728
Bruna, 21971115058,24416060,12516453728
Maria, 21971115058,24416060,12516453728
João, 21971115058,24416060,12516453728
nathalia M,21971115058,24416060,12516453728
nathalia,21971115058,24416060,12516453728
amaral,21971115058,24416060,12516453728
João, 21971115058,24416060,12516453728
amaral,21971115058,24416060,12516453728
Bruna,21971115058,24416060,12516453728
João, 21971115058,24416060,12516453728
Bruna,21971115058,24416060,12516453728
márcio,21971115058,24416060,12516453728
João, 21971115058,24416060,12516453728
márcio,21971115058,24416060,12516453728
João, 21971115058,24416060,12516453728
